,S0,S1,S2,S3,S4,S5,S6,bottleneck
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,S0
3,0.6269999999999998,3.0,3.0,3.0,3.0,3.0,3.0,S1
4,1.6269999999999998,0.18800000000000017,4.0,4.0,4.0,4.0,4.0,S2
5,2.627,1.1880000000000002,5.0,5.0,5.0,5.0,5.0,S2
6,3.627,2.188,0.3810000000000002,0.3810000000000002,0.5599999999999996,0.5599999999999996,0.8449999999999998,S0
7,4.627,3.188,1.3810000000000002,1.3810000000000002,1.5599999999999996,1.5599999999999996,1.8449999999999998,S0
8,5.627,4.188000000000001,2.3810000000000002,2.3810000000000002,2.5599999999999996,2.5599999999999996,2.8449999999999998,S0
9,6.627,5.188000000000001,3.3810000000000002,3.3810000000000002,3.5599999999999996,3.5599999999999996,3.8449999999999998,S0
10,7.627,6.188000000000001,0.2699999999999996,4.381,4.56,0.06700000000000017,4.845,S0
11,8.626999999999999,7.188000000000001,1.2699999999999996,5.381,5.56,1.0670000000000002,5.845,S0
12,9.626999999999999,8.188,2.2699999999999996,6.381,6.56,2.067,6.845,S0
13,10.626999999999999,9.188,3.2699999999999996,7.381,7.56,3.067,7.845,S0
14,11.626999999999999,10.188,4.27,8.381,8.559999999999999,4.067,8.844999999999999,S0
15,12.626999999999999,11.188,0.16999999999999993,9.381,0.41499999999999915,5.067,9.844999999999999,S0
16,13.626999999999999,12.188,1.17,10.381,1.4149999999999991,6.067,10.844999999999999,S0
17,14.626999999999999,13.188,2.17,11.381,2.414999999999999,7.067,11.844999999999999,S0
18,15.626999999999999,14.188,0.5609999999999999,12.381,3.414999999999999,0.347999999999999,12.844999999999999,S0
19,16.627,15.188,1.561,13.381,0.13400000000000034,1.347999999999999,13.844999999999999,S0
20,17.627,16.188,2.561,14.381,1.1340000000000003,2.347999999999999,14.844999999999999,S0
21,18.627,17.188,3.561,15.381,2.1340000000000003,3.347999999999999,15.844999999999999,S0
22,19.627,18.188,4.561,16.381,3.1340000000000003,0.44200000000000017,16.845,S0
23,20.627,19.188,5.561,17.381,4.134,1.4420000000000002,17.845,S0
24,21.627,20.188,6.561,18.381,5.134,2.442,18.845,S0
25,22.627,0.1980000000000004,7.561,19.381,6.134,3.442,19.845,S0
26,23.627,1.1980000000000004,8.561,20.381,7.134,4.442,20.845,S0
27,24.627,2.1980000000000004,9.561,21.381,8.134,5.442,21.845,S0
28,25.627,3.1980000000000004,10.561,22.381,9.134,6.442,22.845,S0
29,26.627,4.198,11.561,23.381,10.134,7.442,23.845,S0
30,27.627,5.198,12.561,24.381,11.134,8.442,24.845,S0
31,28.627,6.198,13.561,25.381,12.134,9.442,25.845,S0
32,29.627,7.198,14.561,26.381,13.134,10.442,26.845,S0
