t,B0,B1,B2,B3,B4,B5,B6,B7
1,4,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0
3,5,0,0,1,0,1,0,1
4,5,0,0,1,0,1,0,1
5,5,0,0,1,0,1,0,1
6,4,0,0,1,0,0,0,1
7,5,0,0,1,0,0,0,1
8,4,0,0,1,0,0,0,1
9,5,0,0,0,1,0,1,1
10,5,0,0,0,0,0,0,2
11,4,1,0,0,1,0,0,2
12,5,1,0,0,0,0,1,2
13,5,1,0,0,0,0,0,3
14,5,1,0,0,0,0,0,3
15,5,0,0,0,0,0,0,3
16,5,0,0,0,0,0,0,4
17,5,0,0,1,0,1,0,4
18,5,0,0,1,0,1,0,4
19,5,0,0,0,0,0,0,4
20,5,0,0,1,0,0,0,4
21,5,0,0,1,0,0,1,4
22,5,0,0,1,0,0,0,5
23,5,0,0,0,0,0,0,5
24,5,0,0,0,0,0,1,5
25,5,0,0,0,0,0,0,6
26,5,0,0,0,0,0,0,6
27,4,0,0,0,0,0,0,6
28,5,0,0,0,0,0,0,7
29,5,0,0,0,0,0,0,7
30,4,0,0,0,0,0,0,7
31,5,0,0,0,0,0,0,7
32,5,0,0,0,0,0,0,7
33,5,0,0,0,0,0,0,8
34,5,0,0,0,0,0,0,8
35,4,0,0,0,0,0,0,8
36,5,0,0,0,0,0,0,8
37,4,0,1,0,0,0,0,8
38,5,0,0,0,0,0,0,8
39,5,0,0,0,0,0,0,8
40,4,1,0,0,0,0,0,8
41,5,1,0,0,0,0,0,9
42,5,1,0,0,0,0,0,9
43,4,2,0,0,0,0,0,9
44,5,1,0,0,0,0,0,9
45,5,1,0,0,0,0,0,10
46,5,1,0,0,0,0,0,10
47,5,0,1,0,0,0,0,10
48,4,1,1,0,0,0,0,10
49,5,1,1,0,0,0,0,10
50,5,1,1,0,0,0,0,10
51,5,1,0,0,0,0,0,11
52,5,0,1,0,0,0,0,11
53,5,0,1,0,0,0,0,11
54,4,1,1,0,0,0,0,11
55,5,1,0,1,0,0,0,11
56,5,0,1,1,0,0,0,11
57,5,0,1,1,0,0,0,11
58,5,0,0,1,0,0,0,11
59,5,0,1,1,0,0,0,11
60,5,0,0,2,0,0,0,11
61,4,0,0,1,1,0,0,12
62,5,0,0,1,0,0,0,12
63,5,0,0,1,0,0,0,12
64,5,0,0,1,0,0,0,12
65,5,0,1,0,0,1,0,12
66,5,0,1,0,0,0,0,12
67,5,0,1,0,1,0,0,12
68,4,0,0,0,1,0,0,12
69,5,0,0,0,0,1,0,12
70,5,0,1,0,0,0,1,12
71,5,0,1,0,0,1,0,13
72,5,0,1,0,0,1,0,13
73,5,0,1,0,0,1,0,13
74,4,0,0,0,0,0,0,14
75,5,0,0,0,0,0,0,14
76,5,0,0,0,0,0,0,15
77,5,0,1,0,0,0,0,15
78,5,0,0,1,0,0,0,15
79,4,0,0,1,0,0,0,15
80,5,0,0,0,0,0,0,16
81,5,0,0,1,0,0,0,16
82,4,0,0,1,0,0,0,16
83,5,0,0,0,0,0,0,16
84,5,0,0,1,0,0,0,17
85,4,1,0,0,1,0,0,17
86,5,0,0,0,0,0,0,17
87,5,0,0,0,0,0,0,17
88,4,1,0,0,0,0,1,17
89,5,1,0,1,0,0,1,17
90,5,1,0,0,0,0,0,18
91,5,1,0,0,0,0,1,18
92,5,1,0,0,0,0,1,18
93,4,2,0,0,0,0,1,18
94,5,2,0,0,0,0,1,18
95,5,1,0,0,0,0,0,19
96,5,1,0,0,0,0,0,19
97,5,1,0,0,0,0,0,19
98,5,0,1,0,0,1,0,19
99,5,0,1,0,0,1,0,19
100,5,0,0,0,0,1,0,20
101,4,1,0,0,0,0,0,20
102,5,1,0,0,0,0,0,20
103,5,1,0,0,0,0,0,20
104,5,0,0,0,0,0,0,21
105,4,1,0,0,0,0,0,21
106,5,1,0,0,0,0,0,21
107,5,1,0,0,1,0,0,21
108,4,1,0,0,1,0,0,22
109,5,1,0,0,0,0,0,22
110,5,1,0,0,0,0,0,22
111,4,2,0,1,0,0,0,22
112,5,2,0,1,0,0,0,22
113,5,1,0,0,0,0,0,22
114,4,2,0,0,0,0,0,23
115,5,2,0,0,0,0,0,23
116,5,2,0,0,1,0,0,23
117,4,3,0,0,1,0,0,23
118,5,3,0,0,1,0,0,23
119,5,2,0,0,0,0,0,23
120,5,2,0,0,0,0,0,23
121,4,3,0,0,0,0,1,23
122,5,3,0,0,0,0,0,24
123,5,3,0,0,0,0,0,24
124,4,4,0,0,0,1,0,24
125,5,4,0,0,0,1,0,24
126,5,4,0,0,0,1,0,25
127,5,4,0,0,0,2,0,25
128,5,4,0,0,0,2,0,25
129,4,4,0,0,0,2,0,25
130,5,4,0,0,0,1,0,25
131,5,4,0,0,0,1,0,25
132,5,4,0,0,0,1,0,25
133,5,3,0,0,0,0,1,25
134,4,4,0,0,0,0,1,25
135,5,4,0,0,0,0,1,26
136,5,3,1,0,0,0,1,26
137,5,3,0,1,0,0,1,26
138,4,3,1,0,0,0,1,26
139,5,3,1,0,0,0,1,26
140,4,4,1,0,0,0,1,26
141,5,4,0,1,0,0,1,26
142,5,4,0,0,0,0,0,27
143,4,5,0,0,0,0,0,27
144,5,5,0,1,0,0,0,27
145,5,5,0,0,1,0,0,28
146,4,5,0,0,1,0,0,28
147,5,5,0,0,2,0,0,28
148,5,5,0,0,2,0,0,28
149,5,5,0,0,2,0,0,29
150,5,5,0,0,1,0,0,29
151,5,5,0,0,1,0,0,29
152,4,5,0,0,1,0,0,29
153,5,5,0,0,0,0,0,29
154,5,5,0,0,0,0,0,29
155,5,5,0,1,0,1,0,29
156,5,5,0,1,0,0,0,30
157,5,5,0,0,0,0,0,30
158,5,5,0,0,0,0,1,30
159,4,5,0,0,0,0,0,31
160,5,5,0,0,0,0,0,31
161,5,5,0,0,0,0,0,31
162,5,5,0,0,0,0,0,32
163,5,5,0,0,0,0,0,32
164,5,5,0,0,0,0,0,32
165,5,5,0,0,0,0,0,32
166,5,5,0,0,0,0,0,32
167,4,5,0,0,0,0,1,32
168,5,5,0,0,0,0,1,32
169,5,5,0,0,0,0,1,32
170,4,5,1,0,0,0,1,32
171,5,5,1,0,0,0,1,32
172,5,5,0,0,0,0,1,32
173,5,5,0,0,0,0,0,33
174,5,5,0,0,0,0,0,33
175,5,5,0,0,0,0,0,34
176,5,5,0,0,0,0,0,34
177,5,5,0,0,0,1,0,34
178,5,5,0,0,0,1,0,34
179,5,5,0,0,0,0,0,34
180,5,5,0,0,0,0,0,34
181,5,5,0,0,0,0,0,34
182,5,5,0,0,0,0,0,34
183,5,5,0,0,0,0,0,34
184,5,5,0,0,0,0,0,34
185,4,5,0,0,0,0,0,34
186,5,5,0,0,0,1,0,35
187,5,4,1,0,0,1,0,35
188,4,5,1,0,0,1,0,35
189,5,5,0,0,0,1,0,35
190,5,4,1,0,0,0,0,35
