t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
0,5,1,job start
0,6,1,job start
2.002,6,1,job finish
2.401,4,1,job finish
3.062,5,1,job finish
3.062,6,2,job start
3.062,5,2,job start
3.891,3,1,job finish
3.891,4,2,job start
5.667,0,1,job finish
5.667,0,2,job start
6.14,4,2,job finish
6.703,1,1,job finish
6.703,1,2,job start
6.745,5,2,job finish
6.745,5,3,job start
7.27,6,2,job finish
7.27,6,3,job start
8.171,2,1,job finish
8.171,3,2,job start
8.171,2,2,job start
8.648,0,2,job finish
8.648,0,3,job start
9.725,1,2,job finish
9.725,1,3,job start
10.214,2,2,job finish
10.214,2,3,job start
10.913,3,2,job finish
10.913,4,3,job start
10.913,3,3,job start
11.183,0,3,job finish
11.183,0,4,job start
12.022,1,3,job finish
12.022,1,4,job start
12.084,5,3,job finish
13.095,3,3,job finish
13.502,6,3,job finish
13.502,6,4,job start
13.782,0,4,job finish
13.782,0,5,job start
15.156,2,3,job finish
15.156,3,4,job start
15.156,2,4,job start
15.399,1,4,job finish
15.399,1,5,job start
16.732,0,5,job finish
16.732,0,6,job start
17.755,2,4,job finish
17.755,2,5,job start
18.036,4,3,job finish
18.036,5,4,job start
18.036,4,4,job start
18.15,1,5,job finish
18.15,1,6,job start
18.435,6,4,job finish
19.609,0,6,job finish
19.609,0,7,job start
19.972,3,4,job finish
19.972,3,5,job start
20.181,2,5,job finish
20.181,2,6,job start
20.53,4,4,job finish
20.53,4,5,job start
21.291,1,6,job finish
21.291,1,7,job start
21.961,0,7,job finish
21.961,0,8,job start
22.365,5,4,job finish
22.365,6,5,job start
22.365,5,5,job start
22.503,3,5,job finish
22.503,3,6,job start
22.735,4,5,job finish
22.735,4,6,job start
23.521,2,6,job finish
23.521,2,7,job start
23.788,1,7,job finish
23.788,1,8,job start
24.573,6,5,job finish
24.855,4,6,job finish
25.322,0,8,job finish
25.322,0,9,job start
25.453,5,5,job finish
25.453,6,6,job start
25.453,5,6,job start
25.608,2,7,job finish
25.608,2,8,job start
26.173,1,8,job finish
26.173,1,9,job start
26.211,3,6,job finish
26.211,4,7,job start
26.211,3,7,job start
28.005,6,6,job finish
28.33,2,8,job finish
28.33,2,9,job start
28.551,3,7,job finish
28.551,3,8,job start
28.825,1,9,job finish
30.966,3,8,job finish
30.966,3,9,job start
31.543,4,7,job finish
31.543,4,8,job start
31.688,5,6,job finish
31.688,6,7,job start
31.688,5,7,job start
31.864,2,9,job finish
31.864,2,10,job start
33.797,3,9,job finish
33.797,3,10,job start
33.852,5,7,job finish
33.852,5,8,job start
33.926,0,9,job finish
33.926,1,10,job start
33.926,0,10,job start
33.967,6,7,job finish
33.967,6,8,job start
36.063,3,10,job finish
36.213,1,10,job finish
36.354,2,10,job finish
36.354,3,11,job start
36.354,2,11,job start
36.423,4,8,job finish
36.423,4,9,job start
36.448,5,8,job finish
36.448,5,9,job start
37.036,6,8,job finish
37.036,6,9,job start
38.255,0,10,job finish
38.255,1,11,job start
38.255,0,11,job start
38.729,3,11,job finish
39.016,4,9,job finish
39.016,4,10,job start
39.24,2,11,job finish
39.24,3,12,job start
39.329,5,9,job finish
39.329,5,10,job start
41.524,6,9,job finish
41.524,6,10,job start
41.571,1,11,job finish
41.571,2,12,job start
42.301,0,11,job finish
42.301,1,12,job start
42.301,0,12,job start
42.424,5,10,job finish
43.471,4,10,job finish
43.471,5,11,job start
43.471,4,11,job start
43.604,2,12,job finish
43.866,6,10,job finish
43.866,6,11,job start
45.394,3,12,job finish
45.394,3,13,job start
45.669,0,12,job finish
45.669,0,13,job start
46.191,1,12,job finish
46.191,2,13,job start
46.191,1,13,job start
46.285,5,11,job finish
46.757,6,11,job finish
46.757,6,12,job start
47.407,4,11,job finish
47.407,5,12,job start
47.407,4,12,job start
48.289,1,13,job finish
49.135,3,13,job finish
49.726,2,13,job finish
49.726,3,14,job start
49.726,2,14,job start
50.081,6,12,job finish
50.485,5,12,job finish
50.485,6,13,job start
51.935,4,12,job finish
51.935,5,13,job start
51.935,4,13,job start
52.246,2,14,job finish
